notice_id,errors,flags,got_no_persons,got_nothing,labels,officers
752378,1,,1,,,
753510,,,,1,,
755648,,,,1,,
759110,,,,1,,
761318,,,1,,,1
789366,1,,1,,,
789589,,1,1,,,
792657,,,1,,1,
797136,,,,1,,
797766,,,1,,1,1
805220,,1,1,,,1
806957,,,,1,,
809009,,,,1,,
811686,,,1,,1,
812982,,,1,,1,
813851,,1,1,,1,
815570,,4,1,,1,1
823883,,,1,,1,
825099,,,,1,,
826343,,,,1,,
827343,,,,1,,
828264,,4,1,,1,1
839794,,,,1,,
841741,,,1,,1,
844418,,2,1,,,
848545,,4,1,,1,1
852358,,,1,,1,
853886,,,1,,1,
857455,,,,1,,
878438,,3,1,,1,1
881000,,,1,,,1
886093,,3,1,,1,1
890582,,,,1,,
900585,,,,1,,
908876,,,,1,,
912286,,,1,,1,
915992,,3,1,,1,1
917490,,,,1,,
920880,,,,1,,
921673,,,,1,,
930057,,,1,,1,
930557,,,,1,,
932007,,,,1,,
933728,,,1,,1,2
934767,,3,1,,1,1
936391,1,,1,,,1
942213,,,1,,,1
946077,,,,1,,
954756,,1,1,,1,1
957383,,1,1,,,
974181,,1,1,,1,2
981132,,,,1,,
992660,,,,1,,
997455,,1,1,,,2
1001098,,,,1,,
1002389,,4,1,,1,1
1004947,,2,1,,1,1
1009066,,,,1,,
1011483,,3,1,,1,1
1022166,,,,1,,
1022371,,,1,,1,
1022382,,4,1,,1,1
1025542,,5,1,,1,1
1036355,1,1,1,,,1
1039428,,,,1,,
1039684,,,,1,,
1040771,,,1,,1,
1042137,,,1,,,1
1042933,,3,1,,1,1
1044635,,,,1,,
1047947,,,1,,1,
1054216,,,1,,,2
1057785,,3,1,,1,1
1066435,,2,1,,,
1066644,,3,1,,1,1
1066909,,1,1,,,
1074638,,2,1,,1,1
1096143,,,1,,1,
1102681,,1,1,,,1
1108183,,,,1,,
1117135,,,1,,1,1
1120765,,,,1,,
1125194,,1,1,,,
1125720,,,1,,,2
1130208,,,1,,1,
1130413,,,1,,1,
1137063,,,1,,,1
1142730,,,1,,1,
1148640,,,,1,,
1152002,,,1,,,1
1156844,,4,1,,,2
1161563,,,1,,1,
1166281,,2,1,,1,1
1166343,,,,1,,
1172915,,,,1,,
1175779,,,,1,,
1177598,,,1,,1,
1177962,,,,1,,
1180898,,,,1,,
1201568,,,1,,,2
1203480,,,1,,1,
1213126,,,1,,,1
1215401,,,1,,1,
1224086,,,1,,,1
1240485,,,,1,,
1243260,,3,1,,1,2
1244087,,1,1,,1,
1246166,,,1,,1,
1250847,,3,1,,1,1
1257725,,,1,,,1
1300994,,,,1,,
1301516,,,,1,,
1322962,,,1,,,1
1344163,,,1,,,2
1348293,,,,1,,
1367470,,1,1,,,
1367476,,,,1,,
1376315,,,1,,1,
1388818,,,1,,,1
1405328,,,,1,,
1406104,,,1,,,1
1414545,,3,1,,1,1
1417434,,,,1,,
1419546,,,,1,,
1420159,,,,1,,
1421603,,,,1,,
1422303,,,,1,,
1428108,,,,1,,
1450261,,,1,,,1
1450890,,2,1,,1,1
1451351,,2,1,,1,1
1457581,,,1,,,2
1470999,,,1,,,1
1479123,,,,1,,
1488334,,,,1,,
1505965,,,,1,,
1508967,,,,1,,
1514184,,,,1,,
1514355,,3,1,,1,1
1525575,,,1,,1,
1542654,,,1,,1,
1546641,,,,1,,
